City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Sakaraha,MG,2020-11-26 17:43:12,-22.9,44.53,76.28,46,45,3.78
93,Olafsvik,IS,2020-11-26 17:43:13,64.89,-23.71,37.0,77,100,48.88
94,Selikhino,RU,2020-11-26 17:43:13,50.37,137.5,10.8,83,0,10.92
95,Karratha,AU,2020-11-26 17:43:14,-20.74,116.85,76.64,77,6,6.6
96,Barrow,US,2020-11-26 17:43:15,71.29,-156.79,6.8,77,90,26.4
97,Butembo,CD,2020-11-26 17:43:15,0.15,29.28,60.39,90,56,1.92
98,Jalu,LY,2020-11-26 17:43:16,29.03,21.55,58.6,61,0,5.68
99,Avarua,CK,2020-11-26 17:38:41,-21.21,-159.78,75.2,73,95,6.93
100,Avera,US,2020-11-26 17:43:17,33.19,-82.53,68.0,70,1,8.05
101,Kaohsiung,TW,2020-11-26 17:43:17,22.62,120.31,73.99,94,40,3.36
102,Lavrentiya,RU,2020-11-26 17:43:18,65.58,-171.0,26.82,91,85,4.21
103,Shaghat,AM,2020-11-26 17:43:20,39.56,45.91,42.8,60,90,4.7
104,Liberia,LR,2020-11-26 17:43:20,6.5,-9.5,77.27,85,78,5.12
105,Inirida,CO,2020-11-26 17:43:21,3.87,-67.92,84.96,84,62,2.66
106,Tual,ID,2020-11-26 17:39:07,-5.67,132.75,84.07,71,52,6.46
107,Iguape,BR,2020-11-26 17:43:22,-24.71,-47.56,84.88,58,66,11.03
108,Notre-Dame-Du-Lac,CA,2020-11-26 17:43:22,47.61,-68.8,28.99,86,99,2.24
109,Arraial Do Cabo,BR,2020-11-26 17:43:23,-22.97,-42.03,84.2,65,0,19.46
110,Sharjah,AE,2020-11-26 17:42:26,25.36,55.4,78.8,44,0,9.17
111,Lasa,IT,2020-11-26 17:43:26,46.62,10.7,37.0,64,5,2.24
112,Saint-Claude,FR,2020-11-26 17:43:27,46.5,5.83,41.0,86,75,1.12
113,Carlyle,US,2020-11-26 17:43:27,38.61,-89.37,46.0,85,53,1.01
114,Keetmanshoop,NA,2020-11-26 17:43:27,-26.58,18.13,93.2,8,0,8.05
